=== LSOF FOR ALL MODEM PROCESSES ===
==============================================
--- LSOF for time_daemon (PID 242) ---
==============================================
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
mediaserv   201      media    6       ???                ???       ???        ??? /dev/log/system
mediaserv   201      media    7       ???                ???       ???        ??? /dev/snd/controlC0
mediaserv   201      media    8       ???                ???       ???        ??? /dev/__properties__
mediaserv   201      media    9       ???                ???       ???        ??? /dev/binder
mediaserv   201      media   10       ???                ???       ???        ??? /dev/log/main
mediaserv   201      media   11       ???                ???       ???        ??? /dev/log/radio
mediaserv   201      media   12       ???                ???       ???        ??? /dev/log/events
mediaserv   201      media   13       ???                ???       ???        ??? /dev/log/system
mediaserv   201      media   14       ???                ???       ???        ??? /dev/snd/controlC0
mediaserv   201      media   15       ???                ???       ???        ??? /dev/snd/controlC0
mediaserv   201      media   16       ???                ???       ???        ??? /dev/diag
mediaserv   201      media   17       ???                ???       ???        ??? /dev/msm_rtac
mediaserv   201      media   18       ???                ???       ???        ??? /dev/msm_acdb
mediaserv   201      media   19       ???                ???       ???        ??? /dev/ion
mediaserv   201      media   20       ???                ???       ???        ??? anon_inode:dmabuf
mediaserv   201      media   21       ???                ???       ???        ??? /dev/snd/controlC0
mediaserv   201      media   22       ???                ???       ???        ??? /dev/cpuctl/apps/tasks
mediaserv   201      media   23       ???                ???       ???        ??? /dev/cpuctl/apps/bg_non_interactive/tasks
mediaserv   201      media   24       ???                ???       ???        ??? /dev/ashmem
mediaserv   201      media   25       ???                ???       ???        ??? /dev/ashmem
mediaserv   201      media   26       ???                ???       ???        ??? /system/media/audio/notifications/pixiedust.ogg
mediaserv   201      media   27       ???                ???       ???        ??? /dev/ashmem
mediaserv   201      media   28       ???                ???       ???        ??? /sys/kernel/debug/tracing/trace_marker
mediaserv   201      media   29       ???                ???       ???        ??? /dev/ashmem
mediaserv   201      media  mem       ???              00:04         0      11165 /dev/ashmem/AudioFlinger::Client
installd    202    install  exe       ???                ???       ???        ??? /system/bin/installd
installd    202    install    0       ???                ???       ???        ??? /dev/null
installd    202    install    1       ???                ???       ???        ??? /dev/null
installd    202    install    2       ???                ???       ???        ??? /dev/null
installd    202    install    3       ???                ???       ???        ??? /dev/log/main
installd    202    install    4       ???                ???       ???        ??? /dev/log/radio
installd    202    install    5       ???                ???       ???        ??? /dev/log/events
installd    202    install    6       ???                ???       ???        ??? /dev/log/system
installd    202    install    7       ???                ???       ???        ??? socket:[6650]
